Location name / detector identity,Location of bat detector (geographic coordinates),Spatial Reference System,Date of bat survey,Species,Passes per night,Sensitivity,Pass Definition,Bat detector make,Bat detector model,Height of bat detector (m),Was the detector within 25m of known roost,Activity elevated as known roost nearby,Detector next to linear feature,Detector located <25m of linear feature,Detector next to anthropogenic feature,Detector located <25m of anthropogenic feature,Sunset temperature (C),Rainfall at sunset,Sunset wind speed (mph),Method of classification,Analysis software used,Notes,,,,,,,,,,
D1,"50.864503, -0.085298726",Latitude and Longitude,09/07/2019,Barbastella barbastellus,7,Public,Pass 2s gap,Wildlife Acoustics,SM2,2,,,Treeline,Running water,None ,Minor road,12,Dry,4,Auto ID & Manual Verification,Kaleidoscope,,,,,,,,,,,
D2,"50.865487, -0.083733201",Latitude and Longitude,09/07/2019,Barbastella barbastellus,7,Public,Pass 2s gap,Wildlife Acoustics,SM2,2,,,Treeline,Running water,None ,Minor road,12,Dry,4,Auto ID & Manual Verification,Kaleidoscope,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
