Site name,Detector identity,Lat,Lon,Date start,Pass Time,Species / Taxa taxon list,Number of bats,Sensitivity,Pass Definition,Detector Make,Detector model,Detector height m,Roost within 25m,Activity elevated by roost,Linear feature adjacent,Linear feature 25m,Anthropogenic feature adjacent,Anthropogenic feature 25m,Temperature c,Rainfall,Wind speed mph,Method of classification,Analysis software used,Notes,,,,,,,,,,
Test site,D1,50.864503,-0.085298726,09/07/2019,22:23:00,Barbastella barbastellus,1,Public,Pass 2s gap,Wildlife Acoustics,SM2,2.0,,,Treeline,Running water,None ,Minor road,12.0,Dry,4.0,Auto ID & Manual Verification,Kaleidoscope,,,,,,,,,,,
Test site,D1,50.864503,-0.085298726,09/07/2019,23:00:00,Barbastella barbastellus,2,Public,Pass 2s gap,Wildlife Acoustics,SM2,2.0,,,Treeline,Running water,None ,Minor road,12.0,Dry,4.0,Auto ID & Manual Verification,Kaleidoscope,,,,,,,,,,,
Test site,D1,50.864503,-0.085298726,10/07/2019,00:23:23,Barbastella barbastellus,1,Public,Pass 2s gap,Wildlife Acoustics,SM2,2.0,,,Treeline,Running water,None ,Minor road,12.0,Dry,4.0,Auto ID & Manual Verification,Kaleidoscope,,,,,,,,,,,
Test site,D1,50.864503,-0.085298726,10/07/2019,01:46:00,Barbastella barbastellus,1,Public,Pass 2s gap,Wildlife Acoustics,SM2,2.0,,,Treeline,Running water,None ,Minor road,12.0,Dry,4.0,Auto ID & Manual Verification,Kaleidoscope,,,,,,,,,,,
Test site,D1,50.864503,-0.085298726,10/07/2019,02:39:00,Barbastella barbastellus,2,Public,Pass 2s gap,Wildlife Acoustics,SM2,2.0,,,Treeline,Running water,None ,Minor road,12.0,Dry,4.0,Auto ID & Manual Verification,Kaleidoscope,,,,,,,,,,,
Test site,D2,50.865487,-0.083733201,09/07/2019,22:23:00,Barbastella barbastellus,1,Public,Pass 2s gap,Wildlife Acoustics,SM2,2.0,,,Treeline,Running water,None ,Minor road,12.0,Dry,4.0,Auto ID & Manual Verification,Kaleidoscope,,,,,,,,,,,
Test site,D2,50.865487,-0.083733201,09/07/2019,23:00:00,Barbastella barbastellus,1,Public,Pass 2s gap,Wildlife Acoustics,SM2,2.0,,,Treeline,Running water,None ,Minor road,12.0,Dry,4.0,Auto ID & Manual Verification,Kaleidoscope,,,,,,,,,,,
Test site,D2,50.865487,-0.083733201,10/07/2019,00:23:23,Barbastella barbastellus,1,Public,Pass 2s gap,Wildlife Acoustics,SM2,2.0,,,Treeline,Running water,None ,Minor road,12.0,Dry,4.0,Auto ID & Manual Verification,Kaleidoscope,,,,,,,,,,,
Test site,D2,50.865487,-0.083733201,10/07/2019,01:46:00,Barbastella barbastellus,3,Public,Pass 2s gap,Wildlife Acoustics,SM2,2.0,,,Treeline,Running water,None ,Minor road,12.0,Dry,4.0,Auto ID & Manual Verification,Kaleidoscope,,,,,,,,,,,
Test site,D2,50.865487,-0.083733201,10/07/2019,02:39:00,Barbastella barbastellus,1,Public,Pass 2s gap,Wildlife Acoustics,SM2,2.0,,,Treeline,Running water,None ,Minor road,12.0,Dry,4.0,Auto ID & Manual Verification,Kaleidoscope,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
