location_name,lat,lon,date,time,species_tvk,species,passes,percentile,activity_level,pass_definition,detector_make,detector_model,detector_height_m,roost_within_25m,activity_elevated_by_roost,roost_species,linear_feature_adjacent,linear_feature_25m,anthropogenic_feature_adjacent,anthropogenic_feature_25m,temperature_c,rainfall,wind_speed_mph,method_of_classification,analysis_software_used,site_name,reference_range_size,location_filter,date_filter,detector_make_filter
Loc.C,57.489369,-3.573912,24/08/2019,23:59:57,NBNSYS0100004720,Pipistrellus pygmaeus,38,79,medium/high,Pass 2s gap,Wildlife Acoustics,SM2+,,No,No,,,,,,,,,Auto ID,Kaleidoscope,BB,92,100,1,Yes
Loc.E,57.506174,-3.536297,14/07/2019,23:59:49,NBNSYS0100004720,Pipistrellus pygmaeus,3,35,low/medium,Pass 2s gap,Wildlife Acoustics,SM2+,,No,No,,,,,,,,,Auto ID,Kaleidoscope,BB,92,100,1,Yes
Loc.D,57.505869,-3.548051,24/08/2019,23:59:45,NBNSYS0100004720,Pipistrellus pygmaeus,194,98,high,Pass 2s gap,Wildlife Acoustics,SM2+,,No,No,,,,,,,,,Auto ID,Kaleidoscope,BB,92,100,1,Yes
Loc.A,57.495568,-3.588229,23/08/2019,23:59:35,NBNSYS0100004720,Pipistrellus pygmaeus,47,82,high,Pass 2s gap,Wildlife Acoustics,SM2+,,No,No,,,,,,,,,Auto ID,Kaleidoscope,BB,92,100,1,Yes
Loc.A,57.495568,-3.588229,23/08/2019,23:59:30,NBNSYS0100004720,Pipistrellus pygmaeus,47,82,high,Pass 2s gap,Wildlife Acoustics,SM2+,,No,No,,,,,,,,,Auto ID,Kaleidoscope,BB,92,100,1,Yes
Loc.A,57.495568,-3.588229,24/08/2019,23:59:18,NHMSYS0020001355,Pipistrellus pipistrellus,214,98,high,Pass 2s gap,Wildlife Acoustics,SM2+,,No,No,,,,,,,,,Auto ID,Kaleidoscope,BB,96,100,1,Yes
Loc.A,57.495568,-3.588229,24/08/2019,23:59:12,NBNSYS0000136578,Pipistrellus,499,100,high,Pass 2s gap,Wildlife Acoustics,SM2+,,No,No,,,,,,,,,Auto ID,Kaleidoscope,BB,114,100,1,Yes
Loc.E,57.506174,-3.536297,16/07/2019,23:58:56,NHMSYS0020001355,Pipistrellus pipistrellus,7,53,medium,Pass 2s gap,Wildlife Acoustics,SM2+,,No,No,,,,,,,,,Auto ID,Kaleidoscope,BB,96,100,1,Yes
Loc.D,57.505869,-3.548051,25/08/2019,23:58:49,NBNSYS0100004720,Pipistrellus pygmaeus,122,95,high,Pass 2s gap,Wildlife Acoustics,SM2+,,No,No,,,,,,,,,Auto ID,Kaleidoscope,BB,92,100,1,Yes
Loc.G,57.485199,-3.50931,24/08/2019,23:58:44,NHMSYS0020001355,Pipistrellus pipistrellus,4,41,medium,Pass 2s gap,Wildlife Acoustics,SM2+,,No,No,,,,,,,,,Auto ID,Kaleidoscope,BB,96,100,1,Yes
Loc.G,57.485199,-3.50931,16/07/2019,23:58:43,NHMSYS0020001355,Pipistrellus pipistrellus,1,0,low,Pass 2s gap,Wildlife Acoustics,SM2+,,No,No,,,,,,,,,Auto ID,Kaleidoscope,BB,96,100,1,Yes
Loc.D,57.505869,-3.548051,06/07/2019,23:58:37,NBNSYS0100004720,Pipistrellus pygmaeus,53,83,high,Pass 2s gap,Wildlife Acoustics,SM2+,,No,No,,,,,,,,,Auto ID,Kaleidoscope,BB,92,100,1,Yes
Loc.A,57.495568,-3.588229,25/08/2019,23:58:15,NHMSYS0020001355,Pipistrellus pipistrellus,38,79,medium/high,Pass 2s gap,Wildlife Acoustics,SM2+,,No,No,,,,,,,,,Auto ID,Kaleidoscope,BB,96,100,1,Yes
Loc.E,57.506174,-3.536297,26/08/2019,23:58:15,NBNSYS0100004720,Pipistrellus pygmaeus,21,70,medium/high,Pass 2s gap,Wildlife Acoustics,SM2+,,No,No,,,,,,,,,Auto ID,Kaleidoscope,BB,92,100,1,Yes
Loc.A,57.495568,-3.588229,24/08/2019,23:58:05,NBNSYS0100004720,Pipistrellus pygmaeus,279,99,high,Pass 2s gap,Wildlife Acoustics,SM2+,,No,No,,,,,,,,,Auto ID,Kaleidoscope,BB,92,100,1,Yes
Loc.G,57.485199,-3.50931,07/07/2019,23:58:04,NHMSYS0020001355,Pipistrellus pipistrellus,1,0,low,Pass 2s gap,Wildlife Acoustics,SM2+,,No,No,,,,,,,,,Auto ID,Kaleidoscope,BB,96,100,1,Yes
Loc.A,57.495568,-3.588229,25/08/2019,23:58:00,NHMSYS0020001355,Pipistrellus pipistrellus,38,79,medium/high,Pass 2s gap,Wildlife Acoustics,SM2+,,No,No,,,,,,,,,Auto ID,Kaleidoscope,BB,96,100,1,Yes
Loc.B,57.498752,-3.583661,25/08/2019,23:57:52,NHMSYS0020001355,Pipistrellus pipistrellus,77,89,high,Pass 2s gap,Wildlife Acoustics,SM2+,,No,No,,,,,,,,,Auto ID,Kaleidoscope,BB,96,100,1,Yes
Loc.A,57.495568,-3.588229,24/08/2019,23:57:52,NBNSYS0100004720,Pipistrellus pygmaeus,279,99,high,Pass 2s gap,Wildlife Acoustics,SM2+,,No,No,,,,,,,,,Auto ID,Kaleidoscope,BB,92,100,1,Yes
Loc.A,57.495568,-3.588229,24/08/2019,23:57:48,NHMSYS0020001355,Pipistrellus pipistrellus,214,98,high,Pass 2s gap,Wildlife Acoustics,SM2+,,No,No,,,,,,,,,Auto ID,Kaleidoscope,BB,96,100,1,Yes
Loc.D,57.505869,-3.548051,06/07/2019,23:57:46,NBNSYS0100004720,Pipistrellus pygmaeus,53,83,high,Pass 2s gap,Wildlife Acoustics,SM2+,,No,No,,,,,,,,,Auto ID,Kaleidoscope,BB,92,100,1,Yes
Loc.D,57.505869,-3.548051,06/07/2019,23:57:44,NBNSYS0100004720,Pipistrellus pygmaeus,53,83,high,Pass 2s gap,Wildlife Acoustics,SM2+,,No,No,,,,,,,,,Auto ID,Kaleidoscope,BB,92,100,1,Yes
Loc.A,57.495568,-3.588229,24/08/2019,23:57:40,NBNSYS0100004720,Pipistrellus pygmaeus,279,99,high,Pass 2s gap,Wildlife Acoustics,SM2+,,No,No,,,,,,,,,Auto ID,Kaleidoscope,BB,92,100,1,Yes
Loc.A,57.495568,-3.588229,24/08/2019,23:57:38,NBNSYS0100004720,Pipistrellus pygmaeus,279,99,high,Pass 2s gap,Wildlife Acoustics,SM2+,,No,No,,,,,,,,,Auto ID,Kaleidoscope,BB,92,100,1,Yes
Loc.D,57.505869,-3.548051,24/08/2019,23:57:29,NHMSYS0020001355,Pipistrellus pipistrellus,91,91,high,Pass 2s gap,Wildlife Acoustics,SM2+,,No,No,,,,,,,,,Auto ID,Kaleidoscope,BB,96,100,1,Yes
Loc.C,57.489369,-3.573912,24/08/2019,23:57:22,NBNSYS0100004720,Pipistrellus pygmaeus,38,79,medium/high,Pass 2s gap,Wildlife Acoustics,SM2+,,No,No,,,,,,,,,Auto ID,Kaleidoscope,BB,92,100,1,Yes
Loc.A,57.495568,-3.588229,25/08/2019,23:57:20,NHMSYS0020001355,Pipistrellus pipistrellus,38,79,medium/high,Pass 2s gap,Wildlife Acoustics,SM2+,,No,No,,,,,,,,,Auto ID,Kaleidoscope,BB,96,100,1,Yes
Loc.A,57.495568,-3.588229,24/08/2019,23:57:14,NHMSYS0020001355,Pipistrellus pipistrellus,214,98,high,Pass 2s gap,Wildlife Acoustics,SM2+,,No,No,,,,,,,,,Auto ID,Kaleidoscope,BB,96,100,1,Yes
Loc.A,57.495568,-3.588229,25/08/2019,23:56:56,NHMSYS0020001355,Pipistrellus pipistrellus,38,79,medium/high,Pass 2s gap,Wildlife Acoustics,SM2+,,No,No,,,,,,,,,Auto ID,Kaleidoscope,BB,96,100,1,Yes
Loc.A,57.495568,-3.588229,24/08/2019,23:56:41,NHMSYS0020001355,Pipistrellus pipistrellus,214,98,high,Pass 2s gap,Wildlife Acoustics,SM2+,,No,No,,,,,,,,,Auto ID,Kaleidoscope,BB,96,100,1,Yes
Loc.A,57.495568,-3.588229,24/08/2019,23:56:36,NBNSYS0100004720,Pipistrellus pygmaeus,279,99,high,Pass 2s gap,Wildlife Acoustics,SM2+,,No,No,,,,,,,,,Auto ID,Kaleidoscope,BB,92,100,1,Yes
Loc.E,57.506174,-3.536297,08/07/2019,23:56:26,NBNSYS0000040730,Myotis,1,0,low,Pass 2s gap,Wildlife Acoustics,SM2+,,No,No,,,,,,,,,Auto ID,Kaleidoscope,BB,17,100,1,Yes
