location_name,lat,lon,date,time,species_tvk,species,passes,percentile,activity_level,pass_definition,detector_make,detector_model,detector_height_m,roost_within_25m,activity_elevated_by_roost,roost_species,linear_feature_adjacent,linear_feature_25m,anthropogenic_feature_adjacent,anthropogenic_feature_25m,temperature_c,rainfall,wind_speed_mph,method_of_classification,analysis_software_used,site_name,reference_range_size,location_filter,date_filter,detector_make_filter,timestamp,DateTime,Night,Month,sunset,sunrise,night_length_hr,night_length_min,post_set_min,pre_rise_min,post_set_hr,pre_rise_hr,post_set_hr_int,pre_rise_hr_int,Spp,lower,upper,passes.per.hour
d10,55.017283,-6.81975,05/08/2018,01:10:08,NBNSYS0000040730,Myotis,1,0,low,Pass 1s gap,Wildlife Acoustics,SM2,NA,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Rigged Hill,74,100,1,No,05/08/2018 01:10,05/08/2018 01:10,04/08/2018,Aug,04/08/2018 21:26,05/08/2018 05:44,8.288333333,497.3,223.2166667,274.0833333,3.720277778,4.568055556,4,5,Myotis,30,70,0.12
d7,55.024583,-6.821733,05/08/2018,00:42:03,NBNSYS0000040730,Myotis,1,0,low,Pass 1s gap,Wildlife Acoustics,SM2,NA,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Rigged Hill,74,100,1,No,05/08/2018 00:42,05/08/2018 00:42,04/08/2018,Aug,04/08/2018 21:26,05/08/2018 05:44,8.288333333,497.3,195.1333333,302.1666667,3.252222222,5.036111111,3,5,Myotis,30,70,0.12
d8,55.022133,-6.82135,06/08/2018,02:55:55,NBNSYS0000040730,Myotis,1,0,low,Pass 1s gap,Wildlife Acoustics,SM2,NA,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Rigged Hill,74,100,1,No,06/08/2018 02:55,06/08/2018 02:55,05/08/2018,Aug,05/08/2018 21:24,06/08/2018 05:46,8.351944444,501.1166667,330.9833333,170.1333333,5.516388889,2.835555556,6,3,Myotis,30,70,0.12
d9,55.01965,-6.82065,07/08/2018,01:55:52,NBNSYS0000040730,Myotis,3,51,medium,Pass 1s gap,Wildlife Acoustics,SM2,NA,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Rigged Hill,74,100,1,No,07/08/2018 01:55,07/08/2018 01:55,06/08/2018,Aug,06/08/2018 21:22,07/08/2018 05:47,8.416111111,504.9666667,272.95,232.0166667,4.549166667,3.866944444,5,4,Myotis,30,70,0.36
d9,55.01965,-6.82065,07/08/2018,01:55:55,NBNSYS0000040730,Myotis,3,51,medium,Pass 1s gap,Wildlife Acoustics,SM2,NA,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Rigged Hill,74,100,1,No,07/08/2018 01:55,07/08/2018 01:55,06/08/2018,Aug,06/08/2018 21:22,07/08/2018 05:47,8.416111111,504.9666667,273,231.9666667,4.55,3.866111111,5,4,Myotis,30,70,0.36
d9,55.01965,-6.82065,07/08/2018,01:56:01,NBNSYS0000040730,Myotis,3,51,medium,Pass 1s gap,Wildlife Acoustics,SM2,NA,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Rigged Hill,74,100,1,No,07/08/2018 01:56,07/08/2018 01:56,06/08/2018,Aug,06/08/2018 21:22,07/08/2018 05:47,8.416111111,504.9666667,273.1,231.8666667,4.551666667,3.864444444,5,4,Myotis,30,70,0.36
d9,55.01965,-6.82065,08/08/2018,01:56:01,NBNSYS0000040730,Myotis,3,51,medium,Pass 1s gap,Wildlife Acoustics,SM2,NA,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Rigged Hill,74,100,1,No,08/08/2018 01:56,08/08/2018 01:56,07/08/2018,Aug,07/08/2018 21:20,08/08/2018 05:49,8.481111111,508.8666667,275.15,233.7166667,4.585833333,3.895277778,5,4,Myotis,30,70,0.35
d9,55.01965,-6.82065,09/08/2018,01:56:01,NBNSYS0000040730,Myotis,3,51,medium,Pass 1s gap,Wildlife Acoustics,SM2,NA,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Rigged Hill,74,100,1,No,09/08/2018 01:56,09/08/2018 01:56,08/08/2018,Aug,08/08/2018 21:18,09/08/2018 05:51,8.546388889,512.7833333,277.2166667,235.5666667,4.620277778,3.926111111,5,4,Myotis,30,70,0.35
d9,55.01965,-6.82065,10/08/2018,01:56:01,NBNSYS0000040730,Myotis,3,51,medium,Pass 1s gap,Wildlife Acoustics,SM2,NA,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Rigged Hill,74,100,1,No,10/08/2018 01:56,10/08/2018 01:56,09/08/2018,Aug,09/08/2018 21:16,10/08/2018 05:53,8.6125,516.75,279.3166667,237.4333333,4.655277778,3.957222222,5,4,Myotis,30,70,0.35
d9,55.01965,-6.82065,11/08/2018,01:56:01,NBNSYS0000040730,Myotis,3,51,medium,Pass 1s gap,Wildlife Acoustics,SM2,NA,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Rigged Hill,74,100,1,No,11/08/2018 01:56,11/08/2018 01:56,10/08/2018,Aug,10/08/2018 21:14,11/08/2018 05:55,8.678888889,520.7333333,281.4333333,239.3,4.690555556,3.988333333,5,4,Myotis,30,70,0.35
