"","location_name","lat","lon","date","species_tvk","species","passes","percentile","activity_level","pass_definition","detector_make","detector_model","detector_height_m","roost_within_25m","activity_elevated_by_roost","roost_species","linear_feature_adjacent","linear_feature_25m","anthropogenic_feature_adjacent","anthropogenic_feature_25m","temperature_c","rainfall","wind_speed_mph","method_of_classification","analysis_software_used","site_name","reference_range_size","location_filter","date_filter","detector_make_filter","timestamp","DateTime","Night","Month","sunset","sunrise","night_length_hr","night_length_min","post_set_min","pre_rise_min","post_set_hr","pre_rise_hr","post_set_hr_int","pre_rise_hr_int","Spp","lower","upper","passes.per.hour"
"1","d8",55.022133,-6.82135,"2018-07-25","NBNSYS0000040730","Myotis",1,0,"low","Pass 1s gap","Wildlife Acoustics","SM2",NA,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rigged Hill",74,100,1,"No","2018-07-25 00:27:05",2018-07-25 00:27:05,2018-07-24,"Jul",2018-07-24 21:46:41,2018-07-25 05:24:49,7.63555555555556,458.133333333333,160.4,297.733333333333,2.67333333333333,4.96222222222222,3,5,"Myotis",30,70,0.13
"2","d7",55.024583,-6.821733,"2018-07-29","NBNSYS0000040730","Myotis",1,0,"low","Pass 1s gap","Wildlife Acoustics","SM2",NA,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rigged Hill",74,100,1,"No","2018-07-29 23:41:11",2018-07-29 23:41:11,2018-07-29,"Jul",2018-07-29 21:38:13,2018-07-30 05:33:25,7.92,475.2,122.966666666667,352.233333333333,2.04944444444444,5.87055555555556,2,6,"Myotis",30,70,0.13
"3","d10",55.017283,-6.81975,"2018-08-05","NBNSYS0000040730","Myotis",1,0,"low","Pass 1s gap","Wildlife Acoustics","SM2",NA,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rigged Hill",74,100,1,"No","2018-08-05 01:10:08",2018-08-05 01:10:08,2018-08-04,"Aug",2018-08-04 21:26:56,2018-08-05 05:44:12,8.28777777777778,497.266666666667,223.2,274.066666666667,3.72,4.56777777777778,4,5,"Myotis",30,70,0.12
"4","d7",55.024583,-6.821733,"2018-08-05","NBNSYS0000040730","Myotis",1,0,"low","Pass 1s gap","Wildlife Acoustics","SM2",NA,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rigged Hill",74,100,1,"No","2018-08-05 00:42:03",2018-08-05 00:42:03,2018-08-04,"Aug",2018-08-04 21:26:56,2018-08-05 05:44:12,8.28777777777778,497.266666666667,195.116666666667,302.15,3.25194444444444,5.03583333333333,3,5,"Myotis",30,70,0.12
"5","d8",55.022133,-6.82135,"2018-08-06","NBNSYS0000040730","Myotis",1,0,"low","Pass 1s gap","Wildlife Acoustics","SM2",NA,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rigged Hill",74,100,1,"No","2018-08-06 02:55:55",2018-08-06 02:55:55,2018-08-05,"Aug",2018-08-05 21:24:57,2018-08-06 05:46:02,8.35138888888889,501.083333333333,330.966666666667,170.116666666667,5.51611111111111,2.83527777777778,6,3,"Myotis",30,70,0.12
"6","d9",55.01965,-6.82065,"2018-08-07","NBNSYS0000040730","Myotis",3,51,"medium","Pass 1s gap","Wildlife Acoustics","SM2",NA,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rigged Hill",74,100,1,"No","2018-08-07 01:55:52",2018-08-07 01:55:52,2018-08-06,"Aug",2018-08-06 21:22:56,2018-08-07 05:47:53,8.41583333333333,504.95,272.933333333333,232.016666666667,4.54888888888889,3.86694444444444,5,4,"Myotis",30,70,0.36
"7","d10",55.017283,-6.81975,"2018-08-11","NBNSYS0000040730","Myotis",1,0,"low","Pass 1s gap","Wildlife Acoustics","SM2",NA,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rigged Hill",74,100,1,"No","2018-08-11 01:28:58",2018-08-11 01:28:58,2018-08-10,"Aug",2018-08-10 21:14:36,2018-08-11 05:55:18,8.67833333333333,520.7,254.366666666667,266.333333333333,4.23944444444444,4.43888888888889,4,4,"Myotis",30,70,0.12
"8","d8",55.022133,-6.82135,"2018-08-11","NBNSYS0000040730","Myotis",1,0,"low","Pass 1s gap","Wildlife Acoustics","SM2",NA,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rigged Hill",74,100,1,"No","2018-08-11 03:42:12",2018-08-11 03:42:12,2018-08-10,"Aug",2018-08-10 21:14:36,2018-08-11 05:55:18,8.67833333333333,520.7,387.6,133.1,6.46,2.21833333333333,6,2,"Myotis",30,70,0.12
"9","d9",55.01965,-6.82065,"2018-08-11","NBNSYS0000040730","Myotis",1,0,"low","Pass 1s gap","Wildlife Acoustics","SM2",NA,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rigged Hill",74,100,1,"No","2018-08-11 03:08:58",2018-08-11 03:08:58,2018-08-10,"Aug",2018-08-10 21:14:36,2018-08-11 05:55:18,8.67833333333333,520.7,354.366666666667,166.333333333333,5.90611111111111,2.77222222222222,6,3,"Myotis",30,70,0.12
"10","d8",55.022133,-6.82135,"2018-08-19","NBNSYS0000040730","Myotis",1,0,"low","Pass 1s gap","Wildlife Acoustics","SM2",NA,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rigged Hill",74,100,1,"No","2018-08-19 23:32:02",2018-08-19 23:32:02,2018-08-19,"Aug",2018-08-19 20:54:30,2018-08-20 06:12:12,9.295,557.7,157.533333333333,400.166666666667,2.62555555555556,6.66944444444444,3,7,"Myotis",30,70,0.11
"11","d10",55.017283,-6.81975,"2018-08-21","NBNSYS0000040730","Myotis",1,0,"low","Pass 1s gap","Wildlife Acoustics","SM2",NA,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rigged Hill",74,100,1,"No","2018-08-21 01:29:20",2018-08-21 01:29:20,2018-08-20,"Aug",2018-08-20 20:52:10,2018-08-21 06:14:05,9.36527777777778,561.916666666667,277.166666666667,284.75,4.61944444444444,4.74583333333333,5,5,"Myotis",30,70,0.11
"12","d7",55.024583,-6.821733,"2018-08-21","NBNSYS0000040730","Myotis",2,31,"low/medium","Pass 1s gap","Wildlife Acoustics","SM2",NA,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rigged Hill",74,100,1,"No","2018-08-21 00:37:03",2018-08-21 00:37:03,2018-08-20,"Aug",2018-08-20 20:52:10,2018-08-21 06:14:05,9.36527777777778,561.916666666667,224.883333333333,337.033333333333,3.74805555555556,5.61722222222222,4,6,"Myotis",30,70,0.21
"13","d8",55.022133,-6.82135,"2018-08-21","NBNSYS0000040730","Myotis",3,51,"medium","Pass 1s gap","Wildlife Acoustics","SM2",NA,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rigged Hill",74,100,1,"No","2018-08-21 00:40:34",2018-08-21 00:40:34,2018-08-20,"Aug",2018-08-20 20:52:10,2018-08-21 06:14:05,9.36527777777778,561.916666666667,228.4,333.516666666667,3.80666666666667,5.55861111111111,4,6,"Myotis",30,70,0.32
"14","d9",55.01965,-6.82065,"2018-08-21","NBNSYS0000040730","Myotis",1,0,"low","Pass 1s gap","Wildlife Acoustics","SM2",NA,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rigged Hill",74,100,1,"No","2018-08-21 01:18:49",2018-08-21 01:18:49,2018-08-20,"Aug",2018-08-20 20:52:10,2018-08-21 06:14:05,9.36527777777778,561.916666666667,266.65,295.266666666667,4.44416666666667,4.92111111111111,4,5,"Myotis",30,70,0.11
