location_name,lat,lon,date,time,species_tvk,species,passes,percentile,activity_level,pass_definition,detector_make,detector_model,detector_height_m,roost_within_25m,activity_elevated_by_roost,roost_species,linear_feature_adjacent,linear_feature_25m,anthropogenic_feature_adjacent,anthropogenic_feature_25m,temperature_c,rainfall,wind_speed_mph,method_of_classification,analysis_software_used,site_name,reference_range_size,location_filter,date_filter,detector_make_filter
d8,55.022133,-6.82135,2018-07-25,00:27:05,NBNSYS0000040730,Myotis,1,0,low,Pass 1s gap,Wildlife Acoustics,SM2,,No,No,,,,,,,,,,,Rigged Hill,74,100,1,No
d7,55.024583,-6.821733,2018-07-29,23:41:11,NBNSYS0000040730,Myotis,1,0,low,Pass 1s gap,Wildlife Acoustics,SM2,,No,No,,,,,,,,,,,Rigged Hill,74,100,1,No
d10,55.017283,-6.81975,2018-08-05,01:10:08,NBNSYS0000040730,Myotis,1,0,low,Pass 1s gap,Wildlife Acoustics,SM2,,No,No,,,,,,,,,,,Rigged Hill,74,100,1,No
d7,55.024583,-6.821733,2018-08-05,00:42:03,NBNSYS0000040730,Myotis,1,0,low,Pass 1s gap,Wildlife Acoustics,SM2,,No,No,,,,,,,,,,,Rigged Hill,74,100,1,No
d8,55.022133,-6.82135,2018-08-06,02:55:55,NBNSYS0000040730,Myotis,1,0,low,Pass 1s gap,Wildlife Acoustics,SM2,,No,No,,,,,,,,,,,Rigged Hill,74,100,1,No
d9,55.01965,-6.82065,2018-08-07,01:55:52,NBNSYS0000040730,Myotis,3,51,medium,Pass 1s gap,Wildlife Acoustics,SM2,,No,No,,,,,,,,,,,Rigged Hill,74,100,1,No
d9,55.01965,-6.82065,2018-08-07,01:55:55,NBNSYS0000040730,Myotis,3,51,medium,Pass 1s gap,Wildlife Acoustics,SM2,,No,No,,,,,,,,,,,Rigged Hill,74,100,1,No
d9,55.01965,-6.82065,2018-08-07,01:56:01,NBNSYS0000040730,Myotis,3,51,medium,Pass 1s gap,Wildlife Acoustics,SM2,,No,No,,,,,,,,,,,Rigged Hill,74,100,1,No
d10,55.017283,-6.81975,2018-08-11,01:28:58,NBNSYS0000040730,Myotis,1,0,low,Pass 1s gap,Wildlife Acoustics,SM2,,No,No,,,,,,,,,,,Rigged Hill,74,100,1,No
d8,55.022133,-6.82135,2018-08-11,03:42:12,NBNSYS0000040730,Myotis,1,0,low,Pass 1s gap,Wildlife Acoustics,SM2,,No,No,,,,,,,,,,,Rigged Hill,74,100,1,No
d9,55.01965,-6.82065,2018-08-11,03:08:58,NBNSYS0000040730,Myotis,1,0,low,Pass 1s gap,Wildlife Acoustics,SM2,,No,No,,,,,,,,,,,Rigged Hill,74,100,1,No
d8,55.022133,-6.82135,2018-08-19,23:32:02,NBNSYS0000040730,Myotis,1,0,low,Pass 1s gap,Wildlife Acoustics,SM2,,No,No,,,,,,,,,,,Rigged Hill,74,100,1,No
d10,55.017283,-6.81975,2018-08-21,01:29:20,NBNSYS0000040730,Myotis,1,0,low,Pass 1s gap,Wildlife Acoustics,SM2,,No,No,,,,,,,,,,,Rigged Hill,74,100,1,No
d7,55.024583,-6.821733,2018-08-21,00:37:03,NBNSYS0000040730,Myotis,2,31,low/medium,Pass 1s gap,Wildlife Acoustics,SM2,,No,No,,,,,,,,,,,Rigged Hill,74,100,1,No
d7,55.024583,-6.821733,2018-08-21,02:49:17,NBNSYS0000040730,Myotis,2,31,low/medium,Pass 1s gap,Wildlife Acoustics,SM2,,No,No,,,,,,,,,,,Rigged Hill,74,100,1,No
