Species,Number,Detector.ID,Date,Time,Latitude,Longitude
Nyctalus spp.,1,A2,07/07/2018,01:50:29,55.01658333,-5.008966667
Nyctalus spp.,1,A2,07/07/2018,01:50:33,55.01658333,-5.008966667
Nyctalus spp.,1,A2,07/07/2018,01:50:42,55.01658333,-5.008966667
Nyctalus noctula,1,A2,07/07/2018,01:51:36,55.01658333,-5.008966667
Nyctalus spp.,1,A2,07/07/2018,01:55:16,55.01658333,-5.008966667
Nyctalus spp.,1,A2,07/07/2018,01:55:22,55.01658333,-5.008966667
Nyctalus noctula,1,A2,07/07/2018,01:55:28,55.01658333,-5.008966667
Nyctalus spp.,1,A2,07/07/2018,02:39:20,55.01658333,-5.008966667
Nyctalus spp.,1,A2,07/07/2018,02:41:14,55.01658333,-5.008966667
Nyctalus spp.,1,A2,07/07/2018,02:55:22,55.01658333,-5.008966667
Nyctalus spp.,1,A2,07/07/2018,02:55:26,55.01658333,-5.008966667
Pipistrellus pygmaeus,1,A2,07/07/2018,03:04:34,55.01658333,-5.008966667
Nyctalus spp.,1,A2,07/07/2018,03:21:28,55.01658333,-5.008966667
Nyctalus spp.,1,A2,07/07/2018,03:26:43,55.01658333,-5.008966667
Plecotus auritus,1,A2,07/07/2018,03:47:54,55.01658333,-5.008966667
Plecotus auritus,1,A2,07/07/2018,03:48:08,55.01658333,-5.008966667
Plecotus auritus,1,A2,07/07/2018,03:48:12,55.01658333,-5.008966667
Nyctalus spp.,1,A2,07/07/2018,04:23:22,55.01658333,-5.008966667
Nyctalus spp.,1,A2,07/07/2018,04:23:27,55.01658333,-5.008966667
Pipistrellus pygmaeus,1,A2,07/07/2018,04:34:07,55.01658333,-5.008966667
Nyctalus spp.,1,A2,07/07/2018,04:37:18,55.01658333,-5.008966667
Nyctalus spp.,1,A2,07/07/2018,04:39:53,55.01658333,-5.008966667
Pipistrellus pygmaeus,1,A2,07/07/2018,04:40:44,55.01658333,-5.008966667
Nyctalus spp.,1,A2,07/07/2018,04:56:26,55.01658333,-5.008966667
Nyctalus spp.,1,A2,07/07/2018,05:14:37,55.01658333,-5.008966667
Nyctalus noctula,1,A2,08/07/2018,00:45:33,55.01658333,-5.008966667
Nyctalus spp.,1,A2,08/07/2018,01:11:17,55.01658333,-5.008966667
Nyctalus noctula,1,A2,08/07/2018,01:12:19,55.01658333,-5.008966667
Nyctalus noctula,1,A2,08/07/2018,01:45:46,55.01658333,-5.008966667
Nyctalus leisleri,1,A2,08/07/2018,01:50:39,55.01658333,-5.008966667
Nyctalus noctula,1,A2,08/07/2018,01:50:44,55.01658333,-5.008966667
Nyctalus noctula,1,A2,08/07/2018,01:50:58,55.01658333,-5.008966667
Nyctalus noctula,1,A2,08/07/2018,01:51:06,55.01658333,-5.008966667
Nyctalus leisleri,1,A2,08/07/2018,03:08:23,55.01658333,-5.008966667
Nyctalus leisleri,1,A2,08/07/2018,03:08:28,55.01658333,-5.008966667
Nyctalus spp.,1,A2,08/07/2018,03:08:36,55.01658333,-5.008966667
Pipistrellus pygmaeus,1,A2,08/07/2018,03:43:25,55.01658333,-5.008966667
Pipistrellus pygmaeus,1,A2,08/07/2018,03:49:10,55.01658333,-5.008966667
Nyctalus leisleri,1,A2,08/07/2018,03:59:02,55.01658333,-5.008966667
Myotis spp.,1,A2,08/07/2018,04:23:00,55.01658333,-5.008966667
Nyctalus spp.,1,A2,08/07/2018,04:43:46,55.01658333,-5.008966667
Nyctalus spp.,1,A2,08/07/2018,04:46:01,55.01658333,-5.008966667
Nyctalus spp.,1,A2,08/07/2018,04:51:03,55.01658333,-5.008966667
Nyctalus noctula,1,A2,08/07/2018,04:52:23,55.01658333,-5.008966667
Nyctalus spp.,1,A2,08/07/2018,04:52:43,55.01658333,-5.008966667
Nyctalus spp.,1,A2,08/07/2018,04:54:51,55.01658333,-5.008966667
Nyctalus spp.,1,A2,08/07/2018,04:55:38,55.01658333,-5.008966667
Nyctalus leisleri,1,A2,08/07/2018,04:56:02,55.01658333,-5.008966667
Nyctalus noctula,1,A2,08/07/2018,04:57:29,55.01658333,-5.008966667
Nyctalus leisleri,1,A2,08/07/2018,04:58:39,55.01658333,-5.008966667
Nyctalus spp.,1,A2,08/07/2018,04:58:58,55.01658333,-5.008966667
Nyctalus spp.,1,A2,08/07/2018,04:59:01,55.01658333,-5.008966667
Nyctalus spp.,1,A2,08/07/2018,05:01:48,55.01658333,-5.008966667
Nyctalus leisleri,1,A2,08/07/2018,05:02:04,55.01658333,-5.008966667
Nyctalus spp.,1,A2,08/07/2018,05:02:26,55.01658333,-5.008966667
Nyctalus spp.,1,A2,08/07/2018,05:06:26,55.01658333,-5.008966667
Nyctalus noctula,1,A2,08/07/2018,05:07:39,55.01658333,-5.008966667
Nyctalus spp.,1,A2,08/07/2018,05:07:44,55.01658333,-5.008966667
Nyctalus spp.,1,A2,08/07/2018,05:15:37,55.01658333,-5.008966667
Nyctalus noctula,1,A2,09/07/2018,00:41:54,55.01658333,-5.008966667
Nyctalus leisleri,1,A2,09/07/2018,00:58:26,55.01658333,-5.008966667
Nyctalus leisleri,1,A2,09/07/2018,00:58:39,55.01658333,-5.008966667
Nyctalus leisleri,1,A2,09/07/2018,01:04:58,55.01658333,-5.008966667
Nyctalus leisleri,1,A2,09/07/2018,01:05:02,55.01658333,-5.008966667
Pipistrellus pygmaeus,1,A2,09/07/2018,01:54:54,55.01658333,-5.008966667
Pipistrellus pipistrellus,1,A2,09/07/2018,01:54:57,55.01658333,-5.008966667
Pipistrellus pipistrellus,1,A2,09/07/2018,01:55:02,55.01658333,-5.008966667
Pipistrellus pipistrellus,1,A2,09/07/2018,01:55:11,55.01658333,-5.008966667
Pipistrellus pipistrellus,1,A2,09/07/2018,01:55:13,55.01658333,-5.008966667
Pipistrellus pygmaeus,1,A2,09/07/2018,01:55:20,55.01658333,-5.008966667
Pipistrellus pipistrellus,1,A2,09/07/2018,01:55:31,55.01658333,-5.008966667
Pipistrellus pygmaeus,1,A2,09/07/2018,01:55:38,55.01658333,-5.008966667
Pipistrellus pipistrellus,1,A2,09/07/2018,01:55:49,55.01658333,-5.008966667
Pipistrellus pipistrellus,1,A2,09/07/2018,01:55:53,55.01658333,-5.008966667
Nyctalus spp.,1,A2,09/07/2018,02:06:50,55.01658333,-5.008966667
Nyctalus spp.,1,A2,09/07/2018,02:06:55,55.01658333,-5.008966667
Pipistrellus pygmaeus,1,A2,09/07/2018,02:33:10,55.01658333,-5.008966667
Nyctalus noctula,1,A2,09/07/2018,04:43:45,55.01658333,-5.008966667
Nyctalus noctula,1,A2,09/07/2018,04:43:52,55.01658333,-5.008966667
Nyctalus spp.,1,A2,09/07/2018,05:00:53,55.01658333,-5.008966667
Nyctalus spp.,1,A2,09/07/2018,05:03:27,55.01658333,-5.008966667
Nyctalus spp.,1,A2,09/07/2018,05:14:08,55.01658333,-5.008966667
Nyctalus spp.,1,A2,10/07/2018,03:01:43,55.01658333,-5.008966667
Nyctalus spp.,1,A2,10/07/2018,03:01:49,55.01658333,-5.008966667
Nyctalus spp.,1,A2,10/07/2018,03:32:01,55.01658333,-5.008966667
Nyctalus spp.,1,A2,10/07/2018,03:34:56,55.01658333,-5.008966667
Pipistrellus pygmaeus,1,A2,10/07/2018,04:37:14,55.01658333,-5.008966667
Nyctalus spp.,1,A2,10/07/2018,04:50:31,55.01658333,-5.008966667
Pipistrellus pipistrellus,1,A2,10/07/2018,04:55:28,55.01658333,-5.008966667
Nyctalus spp.,1,A2,10/07/2018,04:58:15,55.01658333,-5.008966667
Pipistrellus pygmaeus,1,A2,10/07/2018,05:11:39,55.01658333,-5.008966667
Nyctalus leisleri,1,A2,10/07/2018,05:24:52,55.01658333,-5.008966667
Pipistrellus spp.,1,A2,11/07/2018,00:50:19,55.01658333,-5.008966667
Nyctalus spp.,1,A2,11/07/2018,01:08:11,55.01658333,-5.008966667
Nyctalus noctula,1,A2,11/07/2018,01:08:17,55.01658333,-5.008966667
Pipistrellus pygmaeus,1,A2,11/07/2018,01:14:41,55.01658333,-5.008966667
Nyctalus spp.,1,A2,11/07/2018,01:15:39,55.01658333,-5.008966667
Nyctalus spp.,1,A2,11/07/2018,01:55:54,55.01658333,-5.008966667
Nyctalus spp.,1,A2,11/07/2018,01:55:57,55.01658333,-5.008966667
Pipistrellus pipistrellus,1,A2,11/07/2018,02:20:11,55.01658333,-5.008966667
Nyctalus spp.,1,A2,11/07/2018,02:54:24,55.01658333,-5.008966667
Nyctalus noctula,1,A2,11/07/2018,02:54:42,55.01658333,-5.008966667
Nyctalus leisleri,1,A2,11/07/2018,03:10:41,55.01658333,-5.008966667
Nyctalus spp.,1,A2,11/07/2018,03:11:06,55.01658333,-5.008966667
Nyctalus spp.,1,A2,11/07/2018,03:11:15,55.01658333,-5.008966667
Nyctalus noctula,1,A2,11/07/2018,03:16:06,55.01658333,-5.008966667
Nyctalus spp.,1,A2,11/07/2018,03:16:12,55.01658333,-5.008966667
Nyctalus noctula,1,A2,11/07/2018,04:02:17,55.01658333,-5.008966667
Nyctalus spp.,1,A2,11/07/2018,04:09:10,55.01658333,-5.008966667
Nyctalus noctula,1,A2,11/07/2018,04:16:53,55.01658333,-5.008966667
Nyctalus leisleri,1,A2,11/07/2018,04:17:54,55.01658333,-5.008966667
Nyctalus leisleri,1,A2,11/07/2018,05:03:45,55.01658333,-5.008966667
Nyctalus spp.,1,A2,11/07/2018,05:03:50,55.01658333,-5.008966667
Nyctalus noctula,1,A2,11/07/2018,05:03:57,55.01658333,-5.008966667
Nyctalus spp.,1,A2,12/07/2018,00:33:08,55.01658333,-5.008966667
Nyctalus noctula,1,A2,12/07/2018,00:33:47,55.01658333,-5.008966667
Nyctalus leisleri,1,A2,12/07/2018,00:42:53,55.01658333,-5.008966667
Nyctalus leisleri,1,A2,12/07/2018,00:43:05,55.01658333,-5.008966667
Nyctalus spp.,1,A2,12/07/2018,00:43:08,55.01658333,-5.008966667
Nyctalus spp.,1,A2,12/07/2018,00:43:19,55.01658333,-5.008966667
Nyctalus leisleri,1,A2,12/07/2018,00:43:23,55.01658333,-5.008966667
Pipistrellus pipistrellus,1,A2,12/07/2018,01:29:48,55.01658333,-5.008966667
Nyctalus spp.,1,A2,12/07/2018,01:49:44,55.01658333,-5.008966667
Nyctalus leisleri,1,A2,12/07/2018,01:49:47,55.01658333,-5.008966667
Nyctalus spp.,1,A2,12/07/2018,01:49:51,55.01658333,-5.008966667
Nyctalus noctula,1,A2,12/07/2018,01:49:57,55.01658333,-5.008966667
Nyctalus spp.,1,A2,12/07/2018,01:54:00,55.01658333,-5.008966667
Nyctalus spp.,1,A2,12/07/2018,01:54:23,55.01658333,-5.008966667
Nyctalus spp.,1,A2,12/07/2018,01:54:30,55.01658333,-5.008966667
Nyctalus spp.,1,A2,12/07/2018,02:08:17,55.01658333,-5.008966667
Nyctalus noctula,1,A2,12/07/2018,02:08:39,55.01658333,-5.008966667
Myotis spp.,1,A2,12/07/2018,02:36:00,55.01658333,-5.008966667
Pipistrellus pipistrellus,1,A2,12/07/2018,02:57:29,55.01658333,-5.008966667
Nyctalus spp.,1,A2,13/07/2018,00:57:04,55.01658333,-5.008966667
Nyctalus spp.,1,A2,13/07/2018,00:57:15,55.01658333,-5.008966667
Nyctalus noctula,1,A2,13/07/2018,00:57:19,55.01658333,-5.008966667
Nyctalus spp.,1,A2,13/07/2018,00:57:29,55.01658333,-5.008966667
Nyctalus spp.,1,A2,13/07/2018,00:57:37,55.01658333,-5.008966667
Nyctalus spp.,1,A2,13/07/2018,01:06:55,55.01658333,-5.008966667
Nyctalus spp.,1,A2,13/07/2018,01:11:16,55.01658333,-5.008966667
Pipistrellus pipistrellus,1,A2,13/07/2018,01:25:47,55.01658333,-5.008966667
Nyctalus spp.,1,A2,13/07/2018,01:30:31,55.01658333,-5.008966667
Pipistrellus pygmaeus,1,A2,13/07/2018,01:38:51,55.01658333,-5.008966667
Pipistrellus pygmaeus,1,A2,13/07/2018,01:39:31,55.01658333,-5.008966667
Pipistrellus pygmaeus,1,A2,13/07/2018,01:39:35,55.01658333,-5.008966667
Nyctalus spp.,1,A2,13/07/2018,01:55:44,55.01658333,-5.008966667
Nyctalus noctula,1,A2,13/07/2018,01:56:45,55.01658333,-5.008966667
Nyctalus noctula,1,A2,13/07/2018,01:57:31,55.01658333,-5.008966667
Nyctalus noctula,1,A2,13/07/2018,01:58:11,55.01658333,-5.008966667
Nyctalus spp.,1,A2,13/07/2018,01:59:03,55.01658333,-5.008966667
Nyctalus noctula,1,A2,13/07/2018,01:59:07,55.01658333,-5.008966667
Nyctalus spp.,1,A2,13/07/2018,02:20:50,55.01658333,-5.008966667
Nyctalus noctula,1,A2,13/07/2018,02:20:55,55.01658333,-5.008966667
Pipistrellus pygmaeus,1,A2,13/07/2018,02:36:20,55.01658333,-5.008966667
Nyctalus spp.,1,A2,13/07/2018,03:37:48,55.01658333,-5.008966667
Myotis spp.,1,A2,13/07/2018,03:51:43,55.01658333,-5.008966667
Nyctalus leisleri,1,A2,13/07/2018,05:13:48,55.01658333,-5.008966667
Nyctalus noctula,1,A2,13/07/2018,05:19:25,55.01658333,-5.008966667
Nyctalus spp.,1,A2,13/07/2018,05:23:14,55.01658333,-5.008966667
Nyctalus spp.,1,A2,13/07/2018,05:25:07,55.01658333,-5.008966667
Nyctalus noctula,1,A2,13/07/2018,05:25:12,55.01658333,-5.008966667
Nyctalus noctula,1,A2,13/07/2018,05:26:30,55.01658333,-5.008966667
Nyctalus spp.,1,A2,14/07/2018,01:10:26,55.01658333,-5.008966667
Nyctalus spp.,1,A2,14/07/2018,01:23:27,55.01658333,-5.008966667
Nyctalus noctula,1,A2,14/07/2018,01:50:39,55.01658333,-5.008966667
Nyctalus noctula,1,A2,14/07/2018,01:50:44,55.01658333,-5.008966667
Pipistrellus pygmaeus,1,A2,14/07/2018,01:53:13,55.01658333,-5.008966667
Pipistrellus pygmaeus,1,A2,14/07/2018,01:53:58,55.01658333,-5.008966667
Nyctalus spp.,1,A2,14/07/2018,02:00:50,55.01658333,-5.008966667
Nyctalus spp.,1,A2,14/07/2018,02:09:13,55.01658333,-5.008966667
Nyctalus noctula,1,A2,14/07/2018,02:09:40,55.01658333,-5.008966667
Nyctalus spp.,1,A2,14/07/2018,02:09:46,55.01658333,-5.008966667
Pipistrellus pygmaeus,1,A2,14/07/2018,04:38:10,55.01658333,-5.008966667
Nyctalus spp.,1,A2,15/07/2018,01:20:40,55.01658333,-5.008966667
Nyctalus spp.,1,A2,16/07/2018,04:45:40,55.01658333,-5.008966667
Nyctalus spp.,1,A2,16/07/2018,04:46:51,55.01658333,-5.008966667
Nyctalus spp.,1,A2,17/07/2018,00:24:45,55.01658333,-5.008966667
Nyctalus noctula,1,A2,17/07/2018,00:54:14,55.01658333,-5.008966667
Nyctalus spp.,1,A2,17/07/2018,01:19:34,55.01658333,-5.008966667
Nyctalus spp.,1,A2,17/07/2018,01:20:39,55.01658333,-5.008966667
Myotis spp.,1,A2,17/07/2018,02:12:43,55.01658333,-5.008966667
Nyctalus noctula,1,A2,17/07/2018,02:43:20,55.01658333,-5.008966667
Pipistrellus pygmaeus,1,A2,17/07/2018,03:42:31,55.01658333,-5.008966667
Pipistrellus pipistrellus,1,A2,17/07/2018,03:45:30,55.01658333,-5.008966667
Pipistrellus pipistrellus,1,A2,17/07/2018,03:45:33,55.01658333,-5.008966667
Nyctalus noctula,1,A2,17/07/2018,04:26:53,55.01658333,-5.008966667
Nyctalus spp.,1,A2,17/07/2018,04:31:33,55.01658333,-5.008966667
Pipistrellus pygmaeus,1,A2,17/07/2018,05:16:26,55.01658333,-5.008966667
Pipistrellus pygmaeus,1,A2,18/07/2018,02:36:02,55.01658333,-5.008966667
Nyctalus spp.,1,A2,18/07/2018,02:41:17,55.01658333,-5.008966667
Myotis spp.,1,A2,18/07/2018,03:12:26,55.01658333,-5.008966667
Pipistrellus pygmaeus,1,A2,18/07/2018,03:22:12,55.01658333,-5.008966667
Pipistrellus pygmaeus,1,A2,18/07/2018,03:22:15,55.01658333,-5.008966667
Nyctalus leisleri,1,A2,18/07/2018,03:51:13,55.01658333,-5.008966667
Nyctalus spp.,1,A2,18/07/2018,03:51:47,55.01658333,-5.008966667
Pipistrellus pygmaeus,1,A2,18/07/2018,04:00:12,55.01658333,-5.008966667
Nyctalus spp.,1,A2,18/07/2018,05:27:47,55.01658333,-5.008966667
Nyctalus leisleri,1,A2,18/07/2018,05:32:20,55.01658333,-5.008966667
Nyctalus spp.,1,A2,18/07/2018,05:32:25,55.01658333,-5.008966667
Nyctalus spp.,1,A2,19/07/2018,01:24:12,55.01658333,-5.008966667
Nyctalus spp.,1,A2,19/07/2018,01:48:58,55.01658333,-5.008966667
Nyctalus spp.,1,A2,19/07/2018,02:25:17,55.01658333,-5.008966667
Nyctalus spp.,1,A2,19/07/2018,02:25:23,55.01658333,-5.008966667
Pipistrellus pygmaeus,1,A2,19/07/2018,02:26:48,55.01658333,-5.008966667
