Species,Number,Detector.ID,Date,Time,Latitude,Longitude
Nyctalus leisleri,1,d6,13/07/2018,00:41:20,55.0269,-6.821783333
Nyctalus leisleri,1,d6,12/07/2018,23:47:59,55.0269,-6.821783333
Nyctalus leisleri,1,d6,12/07/2018,23:48:03,55.0269,-6.821783333
Nyctalus leisleri,1,d6,13/07/2018,22:58:05,55.0269,-6.821783333
Nyctalus leisleri,1,d6,18/07/2018,00:28:58,55.0269,-6.821783333
Nyctalus leisleri,1,d6,18/07/2018,00:29:05,55.0269,-6.821783333
Nyctalus leisleri,1,d6,18/07/2018,00:29:16,55.0269,-6.821783333
Nyctalus leisleri,1,d6,18/07/2018,00:33:33,55.0269,-6.821783333
Nyctalus leisleri,1,d6,18/07/2018,00:33:40,55.0269,-6.821783333
Nyctalus leisleri,1,d6,18/07/2018,00:33:43,55.0269,-6.821783333
Nyctalus leisleri,1,d6,18/07/2018,00:33:49,55.0269,-6.821783333
Nyctalus leisleri,1,d6,18/07/2018,01:22:10,55.0269,-6.821783333
Nyctalus leisleri,1,d6,18/07/2018,01:22:32,55.0269,-6.821783333
Nyctalus leisleri,1,d6,18/07/2018,01:34:37,55.0269,-6.821783333
Nyctalus leisleri,1,d6,18/07/2018,02:40:11,55.0269,-6.821783333
Nyctalus leisleri,1,d6,18/07/2018,02:40:28,55.0269,-6.821783333
Nyctalus leisleri,1,d6,18/07/2018,02:40:31,55.0269,-6.821783333
Nyctalus leisleri,1,d6,18/07/2018,02:40:43,55.0269,-6.821783333
Nyctalus leisleri,1,d6,18/07/2018,02:40:50,55.0269,-6.821783333
Nyctalus leisleri,1,d6,18/07/2018,02:40:56,55.0269,-6.821783333
Nyctalus leisleri,1,d6,18/07/2018,02:41:44,55.0269,-6.821783333
Nyctalus leisleri,1,d6,18/07/2018,02:41:47,55.0269,-6.821783333
Nyctalus leisleri,1,d6,18/07/2018,02:42:01,55.0269,-6.821783333
Pipistrellus pipistrellus,1,d6,18/07/2018,02:44:24,55.0269,-6.821783333
Nyctalus leisleri,1,d6,18/07/2018,04:08:23,55.0269,-6.821783333
Nyctalus leisleri,1,d6,18/07/2018,04:19:35,55.0269,-6.821783333
Pipistrellus pipistrellus,1,d6,18/07/2018,04:29:12,55.0269,-6.821783333
Pipistrellus pipistrellus,1,d6,18/07/2018,04:29:23,55.0269,-6.821783333
Pipistrellus pipistrellus,1,d6,18/07/2018,04:29:29,55.0269,-6.821783333
Pipistrellus pipistrellus,1,d6,18/07/2018,04:29:36,55.0269,-6.821783333
Pipistrellus pipistrellus,1,d6,18/07/2018,04:30:00,55.0269,-6.821783333
Pipistrellus pipistrellus,1,d6,18/07/2018,04:31:01,55.0269,-6.821783333
Nyctalus leisleri,1,d6,17/07/2018,23:19:16,55.0269,-6.821783333
Nyctalus leisleri,1,d6,17/07/2018,23:21:42,55.0269,-6.821783333
Pipistrellus pipistrellus,1,d6,17/07/2018,23:31:20,55.0269,-6.821783333
Nyctalus leisleri,1,d6,19/07/2018,00:06:49,55.0269,-6.821783333
Nyctalus leisleri,1,d6,18/07/2018,23:24:14,55.0269,-6.821783333
Pipistrellus nathusii,1,d6,23/07/2018,01:26:37,55.0269,-6.821783333
Pipistrellus pipistrellus,1,d6,23/07/2018,22:24:31,55.0269,-6.821783333
Pipistrellus pipistrellus,1,d6,23/07/2018,22:24:33,55.0269,-6.821783333
Pipistrellus pipistrellus,1,d6,23/07/2018,22:24:38,55.0269,-6.821783333
Pipistrellus pipistrellus,1,d6,23/07/2018,22:31:45,55.0269,-6.821783333
Pipistrellus pipistrellus,1,d6,23/07/2018,22:39:35,55.0269,-6.821783333
Nyctalus leisleri,1,d6,23/07/2018,22:40:07,55.0269,-6.821783333
Nyctalus leisleri,1,d6,23/07/2018,22:40:13,55.0269,-6.821783333
Nyctalus leisleri,1,d6,23/07/2018,22:40:17,55.0269,-6.821783333
Nyctalus leisleri,1,d6,23/07/2018,22:40:21,55.0269,-6.821783333
Pipistrellus pipistrellus,1,d6,23/07/2018,22:45:45,55.0269,-6.821783333
Nyctalus leisleri,1,d6,23/07/2018,22:46:59,55.0269,-6.821783333
Nyctalus leisleri,1,d6,23/07/2018,22:47:04,55.0269,-6.821783333
Pipistrellus pipistrellus,1,d6,23/07/2018,22:48:09,55.0269,-6.821783333
Nyctalus leisleri,1,d6,23/07/2018,22:48:47,55.0269,-6.821783333
Nyctalus leisleri,1,d6,23/07/2018,22:49:06,55.0269,-6.821783333
Nyctalus leisleri,1,d6,23/07/2018,22:51:39,55.0269,-6.821783333
Nyctalus leisleri,1,d6,23/07/2018,22:53:46,55.0269,-6.821783333
Nyctalus leisleri,1,d6,23/07/2018,22:54:23,55.0269,-6.821783333
Nyctalus leisleri,1,d6,23/07/2018,22:54:59,55.0269,-6.821783333
Nyctalus leisleri,1,d6,23/07/2018,22:56:40,55.0269,-6.821783333
Nyctalus leisleri,1,d6,23/07/2018,22:58:37,55.0269,-6.821783333
Pipistrellus pipistrellus,1,d6,23/07/2018,22:59:23,55.0269,-6.821783333
Nyctalus leisleri,1,d6,23/07/2018,22:59:23,55.0269,-6.821783333
Pipistrellus pipistrellus,1,d6,23/07/2018,22:59:59,55.0269,-6.821783333
Pipistrellus pipistrellus,1,d6,23/07/2018,23:00:11,55.0269,-6.821783333
Nyctalus leisleri,1,d6,23/07/2018,23:00:20,55.0269,-6.821783333
Nyctalus leisleri,1,d6,23/07/2018,23:02:39,55.0269,-6.821783333
Pipistrellus pipistrellus,1,d6,23/07/2018,23:04:49,55.0269,-6.821783333
Pipistrellus pipistrellus,1,d6,23/07/2018,23:05:01,55.0269,-6.821783333
Nyctalus leisleri,1,d6,23/07/2018,23:05:01,55.0269,-6.821783333
Pipistrellus pipistrellus,1,d6,23/07/2018,23:05:07,55.0269,-6.821783333
Nyctalus leisleri,1,d6,23/07/2018,23:05:07,55.0269,-6.821783333
Nyctalus leisleri,1,d6,23/07/2018,23:05:12,55.0269,-6.821783333
Pipistrellus pipistrellus,1,d6,23/07/2018,23:05:56,55.0269,-6.821783333
Pipistrellus pipistrellus,1,d6,23/07/2018,23:06:21,55.0269,-6.821783333
Nyctalus leisleri,1,d6,23/07/2018,23:14:08,55.0269,-6.821783333
Nyctalus leisleri,1,d6,23/07/2018,23:14:18,55.0269,-6.821783333
Pipistrellus pipistrellus,1,d6,23/07/2018,23:15:52,55.0269,-6.821783333
Pipistrellus pipistrellus,1,d6,23/07/2018,23:15:55,55.0269,-6.821783333
Pipistrellus pipistrellus,1,d6,23/07/2018,23:15:57,55.0269,-6.821783333
Pipistrellus pipistrellus,1,d6,23/07/2018,23:16:08,55.0269,-6.821783333
Pipistrellus pipistrellus,1,d6,23/07/2018,23:19:32,55.0269,-6.821783333
Pipistrellus pipistrellus,1,d6,23/07/2018,23:19:35,55.0269,-6.821783333
Pipistrellus pipistrellus,1,d6,23/07/2018,23:19:38,55.0269,-6.821783333
Pipistrellus pipistrellus,1,d6,23/07/2018,23:19:40,55.0269,-6.821783333
Pipistrellus pipistrellus,1,d6,23/07/2018,23:19:43,55.0269,-6.821783333
Pipistrellus pipistrellus,1,d6,23/07/2018,23:19:52,55.0269,-6.821783333
Pipistrellus pipistrellus,1,d6,23/07/2018,23:19:59,55.0269,-6.821783333
Nyctalus leisleri,1,d6,23/07/2018,23:22:00,55.0269,-6.821783333
Pipistrellus pipistrellus,1,d6,23/07/2018,23:23:54,55.0269,-6.821783333
Nyctalus leisleri,1,d6,23/07/2018,23:29:57,55.0269,-6.821783333
Nyctalus leisleri,1,d6,23/07/2018,23:53:23,55.0269,-6.821783333
Pipistrellus pipistrellus,1,d6,25/07/2018,01:47:18,55.0269,-6.821783333
Nyctalus leisleri,1,d6,24/07/2018,23:05:00,55.0269,-6.821783333
Nyctalus leisleri,1,d6,24/07/2018,23:06:02,55.0269,-6.821783333
Nyctalus leisleri,1,d6,24/07/2018,23:07:42,55.0269,-6.821783333
Pipistrellus pipistrellus,1,d6,26/07/2018,22:34:04,55.0269,-6.821783333
Nyctalus leisleri,1,d6,26/07/2018,23:09:09,55.0269,-6.821783333
Pipistrellus pygmaeus,1,d6,29/07/2018,23:47:21,55.0269,-6.821783333
Nyctalus leisleri,1,d6,02/08/2018,00:40:03,55.0269,-6.821783333
Nyctalus leisleri,1,d6,02/08/2018,22:05:00,55.0269,-6.821783333
Nyctalus leisleri,1,d6,02/08/2018,22:06:04,55.0269,-6.821783333
Nyctalus leisleri,1,d6,02/08/2018,22:23:45,55.0269,-6.821783333
Nyctalus leisleri,1,d6,02/08/2018,23:44:26,55.0269,-6.821783333
Nyctalus leisleri,1,d6,04/08/2018,01:33:53,55.0269,-6.821783333
Nyctalus leisleri,1,d6,03/08/2018,22:34:00,55.0269,-6.821783333
Nyctalus leisleri,1,d6,03/08/2018,22:34:41,55.0269,-6.821783333
Nyctalus leisleri,1,d6,04/08/2018,22:50:14,55.0269,-6.821783333
Nyctalus leisleri,1,d6,04/08/2018,22:50:30,55.0269,-6.821783333
Pipistrellus pygmaeus,1,d6,04/08/2018,23:03:31,55.0269,-6.821783333
Pipistrellus nathusii,1,d6,06/08/2018,00:57:32,55.0269,-6.821783333
Nyctalus leisleri,1,d6,05/08/2018,23:14:13,55.0269,-6.821783333
Nyctalus leisleri,1,d6,05/08/2018,23:14:16,55.0269,-6.821783333
Pipistrellus pipistrellus,1,d6,07/08/2018,00:19:00,55.0269,-6.821783333
Pipistrellus pygmaeus,1,d6,07/08/2018,00:20:31,55.0269,-6.821783333
Pipistrellus pygmaeus,1,d6,07/08/2018,00:38:58,55.0269,-6.821783333
Pipistrellus pipistrellus,1,d6,07/08/2018,00:42:55,55.0269,-6.821783333
Nyctalus leisleri,1,d6,07/08/2018,00:50:01,55.0269,-6.821783333
Nyctalus leisleri,1,d6,07/08/2018,00:50:03,55.0269,-6.821783333
Nyctalus leisleri,1,d6,06/08/2018,22:10:35,55.0269,-6.821783333
Nyctalus leisleri,1,d6,06/08/2018,22:14:48,55.0269,-6.821783333
Nyctalus leisleri,1,d6,06/08/2018,22:22:22,55.0269,-6.821783333
Nyctalus leisleri,1,d6,06/08/2018,22:29:20,55.0269,-6.821783333
Nyctalus leisleri,1,d6,06/08/2018,22:29:24,55.0269,-6.821783333
Nyctalus leisleri,1,d6,06/08/2018,22:30:23,55.0269,-6.821783333
Pipistrellus pipistrellus,1,d6,06/08/2018,22:31:15,55.0269,-6.821783333
Pipistrellus pipistrellus,1,d6,06/08/2018,22:32:42,55.0269,-6.821783333
Nyctalus leisleri,1,d6,06/08/2018,22:36:08,55.0269,-6.821783333
Pipistrellus pygmaeus,1,d6,06/08/2018,22:44:11,55.0269,-6.821783333
Pipistrellus pygmaeus,1,d6,06/08/2018,22:44:57,55.0269,-6.821783333
Nyctalus leisleri,1,d6,06/08/2018,22:46:03,55.0269,-6.821783333
Pipistrellus pygmaeus,1,d6,06/08/2018,22:50:50,55.0269,-6.821783333
Pipistrellus pipistrellus,1,d6,06/08/2018,22:52:13,55.0269,-6.821783333
Pipistrellus pygmaeus,1,d6,06/08/2018,22:57:02,55.0269,-6.821783333
Nyctalus leisleri,1,d6,06/08/2018,22:58:21,55.0269,-6.821783333
Nyctalus leisleri,1,d6,06/08/2018,22:58:27,55.0269,-6.821783333
Pipistrellus pygmaeus,1,d6,06/08/2018,22:58:51,55.0269,-6.821783333
Pipistrellus pipistrellus,1,d6,06/08/2018,23:00:09,55.0269,-6.821783333
Pipistrellus pygmaeus,1,d6,06/08/2018,23:07:44,55.0269,-6.821783333
Nyctalus leisleri,1,d6,06/08/2018,23:09:50,55.0269,-6.821783333
Nyctalus leisleri,1,d6,06/08/2018,23:09:56,55.0269,-6.821783333
Pipistrellus pygmaeus,1,d6,06/08/2018,23:12:17,55.0269,-6.821783333
Pipistrellus pygmaeus,1,d6,06/08/2018,23:14:21,55.0269,-6.821783333
Pipistrellus pygmaeus,1,d6,06/08/2018,23:14:29,55.0269,-6.821783333
Pipistrellus pipistrellus,1,d6,06/08/2018,23:15:13,55.0269,-6.821783333
Pipistrellus pipistrellus,1,d6,06/08/2018,23:15:57,55.0269,-6.821783333
Nyctalus leisleri,1,d6,06/08/2018,23:19:17,55.0269,-6.821783333
Pipistrellus pipistrellus,1,d6,06/08/2018,23:30:00,55.0269,-6.821783333
Pipistrellus pipistrellus,1,d6,06/08/2018,23:42:23,55.0269,-6.821783333
Pipistrellus pipistrellus,1,d6,06/08/2018,23:42:28,55.0269,-6.821783333
Nyctalus leisleri,1,d6,06/08/2018,23:44:26,55.0269,-6.821783333
Nyctalus leisleri,1,d6,06/08/2018,23:54:51,55.0269,-6.821783333
Nyctalus leisleri,1,d6,10/08/2018,21:48:58,55.0269,-6.821783333
Nyctalus leisleri,1,d6,10/08/2018,21:59:45,55.0269,-6.821783333
Nyctalus leisleri,1,d6,10/08/2018,22:17:50,55.0269,-6.821783333
Nyctalus leisleri,1,d6,10/08/2018,22:17:53,55.0269,-6.821783333
Nyctalus leisleri,1,d6,10/08/2018,22:19:38,55.0269,-6.821783333
Nyctalus leisleri,1,d6,10/08/2018,22:39:48,55.0269,-6.821783333
Nyctalus leisleri,1,d6,10/08/2018,22:39:52,55.0269,-6.821783333
Nyctalus leisleri,1,d6,10/08/2018,22:40:25,55.0269,-6.821783333
Nyctalus leisleri,1,d6,10/08/2018,22:45:17,55.0269,-6.821783333
Nyctalus leisleri,1,d6,10/08/2018,22:45:23,55.0269,-6.821783333
Nyctalus leisleri,1,d6,12/08/2018,22:14:42,55.0269,-6.821783333
Nyctalus leisleri,1,d6,12/08/2018,22:14:47,55.0269,-6.821783333
Nyctalus leisleri,1,d6,12/08/2018,22:29:56,55.0269,-6.821783333
Nyctalus leisleri,1,d6,12/08/2018,22:31:58,55.0269,-6.821783333
Nyctalus leisleri,1,d6,12/08/2018,22:42:04,55.0269,-6.821783333
Nyctalus leisleri,1,d6,12/08/2018,22:42:07,55.0269,-6.821783333
Nyctalus leisleri,1,d6,12/08/2018,22:42:11,55.0269,-6.821783333
Pipistrellus pygmaeus,1,d6,12/08/2018,23:00:31,55.0269,-6.821783333
Pipistrellus pygmaeus,1,d6,12/08/2018,23:53:48,55.0269,-6.821783333
Nyctalus leisleri,1,d6,14/08/2018,00:34:04,55.0269,-6.821783333
Pipistrellus pygmaeus,1,d6,14/08/2018,00:53:54,55.0269,-6.821783333
Nyctalus leisleri,2,d6,20/08/2018,00:00:10,55.0269,-6.821783333
Nyctalus leisleri,1,d6,20/08/2018,00:00:26,55.0269,-6.821783333
Nyctalus leisleri,1,d6,20/08/2018,00:00:30,55.0269,-6.821783333
Pipistrellus pipistrellus,1,d6,20/08/2018,00:32:39,55.0269,-6.821783333
Pipistrellus pipistrellus,1,d6,20/08/2018,00:32:42,55.0269,-6.821783333
Pipistrellus pipistrellus,1,d6,20/08/2018,00:35:59,55.0269,-6.821783333
Pipistrellus pipistrellus,1,d6,20/08/2018,00:42:33,55.0269,-6.821783333
Pipistrellus nathusii,1,d6,20/08/2018,00:42:42,55.0269,-6.821783333
Nyctalus leisleri,1,d6,20/08/2018,05:26:12,55.0269,-6.821783333
Nyctalus leisleri,1,d6,19/08/2018,21:19:33,55.0269,-6.821783333
Nyctalus leisleri,1,d6,19/08/2018,21:28:47,55.0269,-6.821783333
Nyctalus leisleri,1,d6,19/08/2018,21:29:31,55.0269,-6.821783333
Nyctalus leisleri,1,d6,19/08/2018,21:29:35,55.0269,-6.821783333
Nyctalus leisleri,1,d6,19/08/2018,21:30:24,55.0269,-6.821783333
Nyctalus leisleri,1,d6,19/08/2018,21:30:39,55.0269,-6.821783333
Pipistrellus pipistrellus,1,d6,19/08/2018,21:30:59,55.0269,-6.821783333
Pipistrellus pipistrellus,1,d6,19/08/2018,21:31:02,55.0269,-6.821783333
Pipistrellus pipistrellus,1,d6,19/08/2018,21:31:39,55.0269,-6.821783333
Nyctalus leisleri,1,d6,19/08/2018,21:32:04,55.0269,-6.821783333
Pipistrellus pipistrellus,1,d6,19/08/2018,21:32:17,55.0269,-6.821783333
Pipistrellus pipistrellus,1,d6,19/08/2018,21:32:22,55.0269,-6.821783333
Pipistrellus pipistrellus,1,d6,19/08/2018,21:32:28,55.0269,-6.821783333
Pipistrellus pipistrellus,1,d6,19/08/2018,21:32:39,55.0269,-6.821783333
Pipistrellus pipistrellus,1,d6,19/08/2018,21:32:45,55.0269,-6.821783333
Pipistrellus pipistrellus,1,d6,19/08/2018,21:32:58,55.0269,-6.821783333
Pipistrellus pipistrellus,1,d6,19/08/2018,21:33:03,55.0269,-6.821783333
Pipistrellus pipistrellus,1,d6,19/08/2018,21:34:09,55.0269,-6.821783333
Pipistrellus pipistrellus,2,d6,19/08/2018,21:34:14,55.0269,-6.821783333
Pipistrellus pipistrellus,2,d6,19/08/2018,21:34:21,55.0269,-6.821783333
Pipistrellus pipistrellus,1,d6,19/08/2018,21:35:05,55.0269,-6.821783333
Pipistrellus pipistrellus,1,d6,19/08/2018,21:35:10,55.0269,-6.821783333
Pipistrellus pipistrellus,1,d6,19/08/2018,21:35:21,55.0269,-6.821783333
Pipistrellus pipistrellus,1,d6,19/08/2018,21:37:38,55.0269,-6.821783333
Pipistrellus pipistrellus,1,d6,19/08/2018,21:37:41,55.0269,-6.821783333
Nyctalus leisleri,1,d6,19/08/2018,21:38:29,55.0269,-6.821783333
Pipistrellus pipistrellus,1,d6,19/08/2018,21:39:12,55.0269,-6.821783333
Nyctalus leisleri,1,d6,19/08/2018,21:39:51,55.0269,-6.821783333
Pipistrellus pipistrellus,1,d6,19/08/2018,21:40:51,55.0269,-6.821783333
Pipistrellus pipistrellus,1,d6,19/08/2018,21:41:31,55.0269,-6.821783333
Pipistrellus pipistrellus,1,d6,19/08/2018,21:41:50,55.0269,-6.821783333
Pipistrellus pipistrellus,1,d6,19/08/2018,21:41:56,55.0269,-6.821783333
Nyctalus leisleri,1,d6,19/08/2018,21:44:43,55.0269,-6.821783333
Pipistrellus pipistrellus,1,d6,19/08/2018,21:45:25,55.0269,-6.821783333
Nyctalus leisleri,1,d6,19/08/2018,21:45:57,55.0269,-6.821783333
Nyctalus leisleri,1,d6,19/08/2018,21:46:02,55.0269,-6.821783333
Pipistrellus pipistrellus,1,d6,19/08/2018,21:46:14,55.0269,-6.821783333
Pipistrellus pipistrellus,1,d6,19/08/2018,21:46:20,55.0269,-6.821783333
Pipistrellus pipistrellus,1,d6,19/08/2018,21:46:27,55.0269,-6.821783333
Pipistrellus pipistrellus,1,d6,19/08/2018,21:46:44,55.0269,-6.821783333
Pipistrellus pipistrellus,1,d6,19/08/2018,21:46:48,55.0269,-6.821783333
Pipistrellus pipistrellus,1,d6,19/08/2018,21:46:53,55.0269,-6.821783333
Pipistrellus pipistrellus,1,d6,19/08/2018,21:47:01,55.0269,-6.821783333
Pipistrellus pygmaeus,1,d6,19/08/2018,21:47:49,55.0269,-6.821783333
