"Recording","Timestamp","Species Text","Calls [#]","Mean Peak Frequency [kHz]","Mean Max Frequency [kHz]","Mean Min Frequency [kHz]","Mean Call Lenght [ms]","Mean Call Distance [ms]","Temperature [°C]","Latitude [WGS84]","Longitude [WGS84]","Length [s]"
"24910044","09/06/2018 21:56:34","Pipistrellus pipistrellus","1","48.5","50.4","47.0","5.2","0","17.0","","","1.49"
"24910045","09/06/2018 22:00:56","Rhinolophus ferrumequinum","8","82.8","83.7","80.8","25.4","100","17.0","","","1.85"
"24910046","09/06/2018 22:02:34","Rhinolophus ferrumequinum","14","42.0","49.4","47.2","1.0","100","17.0","50.516568","-4.166063","13.99"
"24910047","09/06/2018 22:03:34","Rhinolophus ferrumequinum","18","82.1","83.6","79.5","44.7","100","17.0","50.516388","-4.166243","3.06"
"24910048","09/06/2018 22:04:52","Rhinolophus ferrumequinum","11","82.3","84.4","80.6","22.9","90","17.0","50.516560","-4.166038","1.89"
"24910049","09/06/2018 22:05:25","Rhinolophus ferrumequinum","16","82.8","84.0","81.6","18.0","40","17.0","50.516735","-4.165965","2.35"
"24910050","09/06/2018 22:05:34","Rhinolophus ferrumequinum","19","82.4","84.5","81.2","17.2","30","17.0","50.516712","-4.165642","2.50"
"24910051","09/06/2018 22:05:37","Rhinolophus ferrumequinum","22","82.6","83.5","79.6","34.7","90","17.0","50.516712","-4.165642","4.36"
"24910052","09/06/2018 22:06:05","Rhinolophus ferrumequinum","14","82.0","83.3","78.6","55.4","100","17.0","50.516557","-4.165947","3.82"
"24910053","09/06/2018 22:06:14","Rhinolophus ferrumequinum","13","82.2","83.1","80.2","41.5","100","17.0","50.516557","-4.165947","3.52"
"24910054","09/06/2018 22:07:25","Rhinolophus ferrumequinum","10","82.4","83.6","79.6","43.2","110","17.0","50.516555","-4.165942","2.49"
"24910055","09/06/2018 22:07:31","Rhinolophus ferrumequinum","8","82.3","83.2","81.4","10.0","90","17.0","50.516555","-4.165942","1.62"
"24910056","09/06/2018 22:07:56","Pipistrellus pipistrellus","6","47.6","54.1","46.5","7.0","83","17.0","50.516623","-4.165868","1.60"
"24910057","09/06/2018 22:07:59","Pipistrellus pipistrellus","1","49.4","56.5","47.9","4.6","0","17.0","50.516623","-4.165868","1.50"
"24910058","09/06/2018 22:08:14","Rhinolophus ferrumequinum","6","82.4","83.5","81.4","7.0","30","17.0","50.516515","-4.166073","1.50"
"24910059","09/06/2018 22:08:40","Rhinolophus ferrumequinum","19","82.7","83.8","81.3","27.3","90","17.0","50.516630","-4.166147","2.70"
"24910060","09/06/2018 22:08:44","Rhinolophus ferrumequinum","25","82.2","83.5","78.5","50.0","161","17.0","50.516630","-4.166147","6.11"
"24910061","09/06/2018 22:09:42","Pipistrellus pipistrellus","5","48.4","52.7","46.7","3.0","70","17.0","50.516708","-4.165853","1.64"
"24910062","09/06/2018 22:11:09","Rhinolophus ferrumequinum","26","82.2","83.6","80.2","43.4","90","17.0","","","3.85"
"24910063","09/06/2018 22:11:30","Rhinolophus ferrumequinum","18","82.3","83.2","77.7","29.4","90","17.0","50.516952","-4.165357","3.10"
"24910064","09/06/2018 22:11:34","Rhinolophus ferrumequinum","245","83.2","84.2","81.5","30.0","60","17.0","50.516952","-4.165357","20.49"
"24910065","09/06/2018 22:11:58","Rhinolophus ferrumequinum","221","83.6","84.4","82.3","30.0","80","17.0","50.516887","-4.165347","20.50"
"24910066","09/06/2018 22:12:21","Rhinolophus ferrumequinum","253","83.9","85.0","82.5","30.0","80","17.0","50.516617","-4.165850","20.50"
"24910067","09/06/2018 22:12:45","Rhinolophus ferrumequinum","107","83.9","84.8","82.5","25.0","60","17.0","50.516617","-4.165850","9.20"
"24910068","09/06/2018 22:12:56","Rhinolophus ferrumequinum","10","82.2","83.3","80.5","18.8","50","17.0","50.516617","-4.165850","1.53"
"24910069","09/06/2018 22:13:26","Myotis nattereri","13","45.2","50.8","41.9","3.0","60","17.0","50.515532","-4.167225","1.74"
"24910070","09/06/2018 22:13:28","Myotis nattereri","6","47.6","55.4","45.6","3.0","50","17.0","50.515532","-4.167225","1.49"
"24910071","09/06/2018 22:15:13","Pipistrellus pipistrellus","9","44.3","47.7","42.8","7.0","110","17.0","50.516687","-4.164520","1.82"
"24910072","09/06/2018 22:15:16","Pipistrellus pipistrellus","10","43.3","45.2","42.3","5.0","190","17.0","50.516687","-4.164520","2.40"
"24910073","09/06/2018 22:20:01","Pipistrellus pipistrellus","20","43.7","45.3","42.7","3.0","110","17.0","50.516483","-4.166352","4.45"
"24910074","09/06/2018 22:23:45","Pipistrellus pipistrellus","7","47.9","51.2","46.7","5.0","140","17.0","50.516538","-4.166010","1.84"
"24910075","09/06/2018 22:23:53","Pipistrellus pygmaeus","21","58.0","64.7","57.0","3.0","70","17.0","50.516583","-4.165947","3.25"
"24910076","09/06/2018 22:23:57","Pipistrellus pygmaeus","5","60.1","63.5","58.2","6.9","147","17.0","50.516583","-4.165947","1.61"
"24910077","09/06/2018 22:24:27","Pipistrellus pygmaeus","6","55.9","60.6","54.0","5.0","208","17.0","50.516667","-4.165847","1.49"
"24910079","09/06/2018 22:24:41","Nyctalus noctula","4","16.8","17.5","16.1","5.9","458","17.0","50.516740","-4.165765","2.31"
"24910080","09/06/2018 22:24:44","Nyctalus noctula","5","17.3","18.2","16.5","5.0","314","17.0","50.516753","-4.165695","1.56"
"24910081","09/06/2018 22:24:47","Nyctalus noctula","2","16.6","17.5","15.7","15.1","771","17.0","50.516753","-4.165695","1.56"
"24910082","09/06/2018 22:25:11","Pipistrellus pygmaeus","29","58.4","64.5","57.1","5.0","101","17.0","50.516645","-4.165728","3.69"
"24910083","09/06/2018 22:25:22","Pipistrellus pygmaeus","15","62.6","68.6","61.3","5.0","60","17.0","50.516678","-4.165693","2.31"
"24910084","09/06/2018 22:25:35","Pipistrellus pygmaeus","6","48.4","52.4","46.7","2.0","60","17.0","50.516737","-4.165642","1.50"
"24910085","09/06/2018 22:25:42","Pipistrellus pygmaeus","5","49.2","51.9","47.9","6.0","338","17.0","50.516755","-4.165673","1.50"
"24910086","09/06/2018 22:27:01","Pipistrellus pygmaeus","7","57.7","64.0","56.5","4.0","170","17.0","","","2.20"
"24910087","09/06/2018 22:28:01","Pipistrellus pygmaeus","1","18.0","21.7","17.1","2.6","0","17.0","50.516713","-4.165877","1.50"
"24910088","09/06/2018 22:28:14","Pipistrellus pygmaeus","16","58.0","52.8","48.1","7.0","100","17.0","50.516703","-4.165782","2.91"
"24910089","09/06/2018 22:28:18","Pipistrellus pygmaeus","5","58.0","53.6","48.2","10.0","106","17.0","50.516703","-4.165782","1.52"
"24910090","09/06/2018 22:28:22","Pipistrellus pygmaeus","14","53.8","57.4","52.8","4.0","180","17.0","50.516703","-4.165782","3.34"
"24910091","09/06/2018 22:28:35","Pipistrellus pygmaeus","4","37.4","41.1","36.0","5.0","204","17.0","50.516683","-4.165638","2.04"
"24910092","09/06/2018 22:28:41","Nyctalus noctula","4","28.7","31.0","27.5","3.0","163","17.0","50.516767","-4.165540","1.94"
"24910093","09/06/2018 22:28:43","Nyctalus noctula","2","36.5","38.6","35.6","50.1","343","17.0","50.516767","-4.165540","1.83"
"24910094","09/06/2018 22:28:47","Nyctalus noctula","6","17.6","18.3","16.8","11.6","730","17.0","50.516767","-4.165540","2.75"
"24910095","09/06/2018 22:28:51","Nyctalus noctula","6","23.5","28.3","21.7","7.0","140","17.0","50.516683","-4.165545","1.50"
"24910096","09/06/2018 22:28:53","Nyctalus noctula","5","20.5","22.2","19.5","14.0","566","17.0","50.516683","-4.165545","3.80"
"24910097","09/06/2018 22:32:29","Pipistrellus pygmaeus","4","55.3","59.1","54.1","5.0","270","16.0","50.516345","-4.166330","1.50"
"24910098","09/06/2018 22:34:07","Nyctalus noctula","28","30.1","34.4","28.7","3.0","420","16.0","","","8.89"
"24910099","09/06/2018 22:34:46","Myotis spec.","5","61.7","68.0","60.1","3.0","80","16.0","50.516617","-4.166123","1.84"
"24910100","09/06/2018 22:34:50","Pipistrellus pipistrellus","16","58.0","54.5","47.6","3.0","30","16.0","50.516617","-4.166123","2.18"
"24910101","09/06/2018 22:34:56","Pipistrellus pygmaeus","18","57.9","65.0","56.6","3.0","80","16.0","50.516392","-4.166590","2.68"
"24910102","09/06/2018 22:34:59","Pipistrellus pygmaeus","3","54.4","59.7","53.3","6.0","180","16.0","50.516392","-4.166590","1.50"
"24910103","09/06/2018 22:35:03","Nyctalus noctula","3","30.0","31.3","29.3","3.0","323","16.0","50.516392","-4.166590","1.50"
"24910104","09/06/2018 22:36:24","Eptesicus serotinus","5","29.5","36.2","28.2","5.0","564","16.0","50.516455","-4.166182","3.77"
"24910105","09/06/2018 22:36:29","Eptesicus serotinus","7","29.3","36.6","27.9","5.0","260","16.0","50.516455","-4.166182","2.76"
"24910106","09/06/2018 22:42:33","Nyctalus noctula","2","16.8","18.0","15.7","12.1","39","16.0","50.516530","-4.166007","1.50"
"24910107","09/06/2018 22:42:36","Nyctalus noctula","3","17.1","18.0","16.4","5.5","265","16.0","50.516530","-4.166007","1.51"
"24910108","09/06/2018 22:42:39","Nyctalus noctula","3","17.0","17.8","16.0","27.7","339","16.0","50.516530","-4.166007","1.50"
"24910109","09/06/2018 22:42:41","Nyctalus noctula","3","16.6","17.6","15.8","8.0","451","16.0","50.516442","-4.166200","1.51"
"24910110","09/06/2018 22:42:44","Nyctalus noctula","5","18.4","19.5","17.5","7.0","530","16.0","50.516442","-4.166200","3.15"
